Datum	Zuletzt	Vol.
29.07.2020	11.105,9	576,83K
28.07.2020	10.908,5	658,37K
27.07.2020	11.022,8	908,99K
26.07.2020	9.932,5	415,07K
25.07.2020	9.704,1	306,29K
24.07.2020	9.546,4	359,16K
23.07.2020	9.599,6	425,66K
22.07.2020	9.513,7	386,00K
21.07.2020	9.387,3	458,99K
20.07.2020	9.162,4	312,98K
19.07.2020	9.208,0	265,25K
18.07.2020	9.170,2	276,40K
17.07.2020	9.155,8	310,92K
16.07.2020	9.135,3	429,04K
15.07.2020	9.198,7	429,84K
14.07.2020	9.253,4	453,83K
13.07.2020	9.243,6	456,87K
12.07.2020	9.300,8	366,88K
11.07.2020	9.233,3	353,92K
10.07.2020	9.285,1	418,47K
09.07.2020	9.235,7	444,27K
08.07.2020	9.429,9	509,94K
07.07.2020	9.256,0	420,55K
06.07.2020	9.339,0	510,27K
05.07.2020	9.081,0	314,10K
04.07.2020	9.134,4	261,25K
03.07.2020	9.067,1	333,88K
02.07.2020	9.085,1	483,10K
01.07.2020	9.229,9	366,78K
30.06.2020	9.135,4	381,73K
29.06.2020	9.185,4	401,12K
28.06.2020	9.124,0	329,01K
27.06.2020	9.008,3	441,93K
26.06.2020	9.160,0	489,84K
25.06.2020	9.247,5	524,45K
24.06.2020	9.302,0	515,78K
23.06.2020	9.624,6	375,49K
22.06.2020	9.683,7	523,32K
21.06.2020	9.296,4	335,99K
20.06.2020	9.358,8	383,44K
19.06.2020	9.314,0	478,49K
18.06.2020	9.388,1	391,67K
17.06.2020	9.464,6	446,45K
16.06.2020	9.523,5	545,47K
15.06.2020	9.425,4	750,90K
14.06.2020	9.345,3	311,27K
13.06.2020	9.471,3	364,97K
12.06.2020	9.466,6	529,28K
11.06.2020	9.283,2	919,30K
10.06.2020	9.878,8	533,55K
09.06.2020	9.768,8	479,55K
08.06.2020	9.777,9	431,04K
07.06.2020	9.742,6	549,20K
06.06.2020	9.669,6	370,85K
05.06.2020	9.631,2	527,05K
04.06.2020	9.794,4	593,66K
03.06.2020	9.667,2	558,12K
02.06.2020	9.527,6	1,06M
01.06.2020	10.189,3	796,68K
31.05.2020	9.454,8	645,27K
30.05.2020	9.692,5	720,62K
29.05.2020	9.424,8	814,33K
28.05.2020	9.572,2	948,86K
27.05.2020	9.199,1	810,89K
26.05.2020	8.842,5	784,92K
25.05.2020	8.898,2	941,89K
24.05.2020	8.728,2	1,11M
23.05.2020	9.177,0	812,56K
22.05.2020	9.169,7	914,59K
21.05.2020	9.059,0	1,41M
20.05.2020	9.512,3	1,15M
19.05.2020	9.773,3	1,16M
18.05.2020	9.730,7	1,18M
17.05.2020	9.677,7	1,18M
16.05.2020	9.379,5	1,10M
15.05.2020	9.318,0	1,56M
14.05.2020	9.778,4	1,77M
13.05.2020	9.298,7	1,50M
12.05.2020	8.813,8	1,35M
11.05.2020	8.579,8	2,29M
10.05.2020	8.738,8	2,47M
09.05.2020	9.554,6	1,49M
08.05.2020	9.806,2	1,42M
07.05.2020	9.979,8	1,91M
06.05.2020	9.151,4	1,62M
05.05.2020	9.001,0	1,05M
04.05.2020	8.874,7	1,12M
03.05.2020	8.885,5	1,15M
02.05.2020	8.966,3	890,34K
01.05.2020	8.821,6	1,11M
30.04.2020	8.629,0	2,04M
29.04.2020	8.770,9	1,83M
28.04.2020	7.746,9	808,09K
27.04.2020	7.766,0	980,50K
26.04.2020	7.678,9	921,59K
25.04.2020	7.540,4	861,93K
24.04.2020	7.503,8	951,95K
23.04.2020	7.488,5	1,34M
22.04.2020	7.112,9	914,18K
21.04.2020	6.842,5	892,57K
20.04.2020	6.833,5	1,26M
19.04.2020	7.122,9	5,93M
18.04.2020	7.230,8	796,45K
17.04.2020	7.035,8	810,10K
16.04.2020	7.085,6	1,54M
15.04.2020	6.629,1	1,00M
14.04.2020	6.850,9	999,53K
13.04.2020	6.841,3	1,25M
12.04.2020	6.917,6	1,10M
11.04.2020	6.867,8	845,58K
10.04.2020	6.863,1	1,37M
09.04.2020	7.289,0	963,55K
08.04.2020	7.361,2	983,94K
07.04.2020	7.185,2	1,32M
06.04.2020	7.332,3	1,53M
05.04.2020	6.772,7	842,33K
04.04.2020	6.857,4	1,05M
03.04.2020	6.735,9	1,35M
02.04.2020	6.800,5	1,74M
01.04.2020	6.638,5	1,40M
31.03.2020	6.412,5	1,05M
30.03.2020	6.391,0	1,43M
29.03.2020	5.890,4	916,17K
28.03.2020	6.233,7	1,26M
27.03.2020	6.373,4	1,16M
26.03.2020	6.725,1	1,18M
25.03.2020	6.678,9	1,52M
24.03.2020	6.744,6	1,73M
23.03.2020	6.468,9	1,88M
22.03.2020	5.822,1	1,48M
21.03.2020	6.186,2	1,64M
20.03.2020	6.205,3	2,22M
19.03.2020	6.172,0	2,18M
18.03.2020	5.361,4	1,80M
17.03.2020	5.261,1	1,89M
16.03.2020	5.030,0	2,55M
15.03.2020	5.366,3	1,61M
14.03.2020	5.182,7	1,69M
13.03.2020	5.584,3	4,17M
12.03.2020	4.826,0	3,22M
11.03.2020	7.935,1	1,10M
10.03.2020	7.891,2	1,20M
09.03.2020	7.933,0	1,54M
08.03.2020	8.034,1	1,11M
07.03.2020	8.887,8	750,65K
06.03.2020	9.134,8	1,04M
05.03.2020	9.060,3	950,76K
04.03.2020	8.757,9	759,69K
03.03.2020	8.761,4	1,01M
02.03.2020	8.904,8	1,02M
01.03.2020	8.540,0	784,05K
29.02.2020	8.543,7	683,44K
28.02.2020	8.697,5	1,08M
27.02.2020	8.818,6	1,13M
26.02.2020	8.800,3	1,32M
25.02.2020	9.317,2	937,97K
24.02.2020	9.662,7	980,00K
23.02.2020	9.942,7	775,88K
22.02.2020	9.655,7	589,88K
21.02.2020	9.684,5	716,61K
20.02.2020	9.602,4	870,80K
19.02.2020	9.609,4	905,95K
18.02.2020	10.158,4	945,91K
17.02.2020	9.701,4	961,88K
16.02.2020	9.932,3	808,91K
15.02.2020	9.907,7	808,81K
14.02.2020	10.333,0	732,51K
13.02.2020	10.235,1	940,30K
12.02.2020	10.317,7	803,25K
11.02.2020	10.229,5	791,28K
10.02.2020	9.854,1	781,22K
09.02.2020	10.151,5	617,35K
08.02.2020	9.895,5	551,31K
07.02.2020	9.818,6	608,96K
06.02.2020	9.772,0	778,67K
05.02.2020	9.611,8	771,46K
04.02.2020	9.193,9	651,68K
03.02.2020	9.296,6	701,39K
02.02.2020	9.334,9	683,37K
01.02.2020	9.381,6	458,42K
31.01.2020	9.349,1	633,37K
30.01.2020	9.507,3	765,21K
29.01.2020	9.298,9	749,88K
28.01.2020	9.377,3	954,20K
27.01.2020	8.866,6	706,45K
26.01.2020	8.607,8	468,34K
25.01.2020	8.341,6	444,00K
24.01.2020	8.439,9	617,02K
23.01.2020	8.405,1	722,67K
22.01.2020	8.678,5	509,06K
21.01.2020	8.732,6	540,20K
20.01.2020	8.641,9	599,06K
19.01.2020	8.706,2	975,01K
18.01.2020	8.916,3	627,74K
17.01.2020	8.913,1	794,11K
16.01.2020	8.726,9	748,32K
15.01.2020	8.818,3	1,17M
14.01.2020	8.829,2	1,48M
13.01.2020	8.111,4	610,66K
12.01.2020	8.187,6	595,22K
11.01.2020	8.024,1	776,75K
10.01.2020	8.187,1	1,05M
09.01.2020	7.842,4	786,50K
08.01.2020	8.059,6	1,19M
07.01.2020	8.155,7	1,01M
06.01.2020	7.759,1	786,75K
05.01.2020	7.372,5	628,14K
04.01.2020	7.376,8	523,91K
03.01.2020	7.343,1	936,29K
02.01.2020	6.967,0	632,78K
01.01.2020	7.199,8	420,28K
31.12.2019	7.196,4	586,60K
30.12.2019	7.261,8	606,11K
29.12.2019	7.397,5	611,69K
28.12.2019	7.321,5	610,96K
27.12.2019	7.261,7	718,07K
26.12.2019	7.210,9	795,09K
25.12.2019	7.224,8	625,41K
24.12.2019	7.268,3	785,54K
23.12.2019	7.322,8	952,16K
22.12.2019	7.495,8	677,94K
21.12.2019	7.156,2	468,74K
20.12.2019	7.196,4	627,04K
19.12.2019	7.165,5	778,72K
18.12.2019	7.276,0	1,14M
17.12.2019	6.613,3	894,55K
16.12.2019	6.903,5	689,56K
15.12.2019	7.128,5	492,58K
14.12.2019	7.080,8	524,56K
13.12.2019	7.255,2	503,49K
12.12.2019	7.208,0	611,80K
11.12.2019	7.208,0	518,40K
10.12.2019	7.235,7	609,50K
09.12.2019	7.355,8	648,66K
08.12.2019	7.524,4	499,04K
07.12.2019	7.510,9	557,14K
06.12.2019	7.530,8	706,10K
05.12.2019	7.399,2	780,78K
04.12.2019	7.204,4	971,75K
03.12.2019	7.291,8	548,77K
02.12.2019	7.298,2	687,78K
01.12.2019	7.396,4	777,00K
30.11.2019	7.546,6	650,60K
29.11.2019	7.742,7	766,71K
28.11.2019	7.426,7	737,58K
27.11.2019	7.510,6	996,49K
26.11.2019	7.162,8	844,27K
25.11.2019	7.115,6	1,29M
24.11.2019	6.924,7	904,50K
23.11.2019	7.324,1	783,18K
22.11.2019	7.272,5	1,41M
21.11.2019	7.627,9	891,50K
20.11.2019	8.099,3	607,27K
19.11.2019	8.145,7	654,27K
18.11.2019	8.208,4	692,60K
17.11.2019	8.509,8	531,22K
16.11.2019	8.497,3	471,16K
15.11.2019	8.476,3	653,71K
14.11.2019	8.661,2	515,43K
13.11.2019	8.783,1	454,33K
12.11.2019	8.812,6	575,16K
11.11.2019	8.736,9	601,16K
10.11.2019	9.036,8	581,57K
09.11.2019	8.804,5	512,02K
08.11.2019	8.778,2	791,79K
07.11.2019	9.223,5	603,54K
06.11.2019	9.338,9	578,03K
05.11.2019	9.310,8	653,42K
04.11.2019	9.396,4	681,01K
03.11.2019	9.198,3	536,56K
02.11.2019	9.300,6	570,74K
01.11.2019	9.230,1	689,65K
31.10.2019	9.152,6	798,93K
30.10.2019	9.157,9	789,73K
29.10.2019	9.411,3	918,48K
28.10.2019	9.207,2	1,04M
27.10.2019	9.529,6	1,16M
26.10.2019	9.230,6	1,78M
25.10.2019	8.658,3	1,18M
24.10.2019	7.422,7	586,49K
23.10.2019	7.477,0	892,08K
22.10.2019	8.031,4	570,39K
21.10.2019	8.208,2	489,40K
20.10.2019	8.223,4	513,91K
19.10.2019	7.957,3	428,83K
18.10.2019	7.948,5	505,79K
17.10.2019	8.073,3	444,95K
16.10.2019	8.000,4	538,92K
15.10.2019	8.167,2	469,73K
14.10.2019	8.353,3	505,02K
13.10.2019	8.281,5	419,87K
12.10.2019	8.304,4	424,02K
11.10.2019	8.267,8	667,86K
10.10.2019	8.562,3	511,46K
09.10.2019	8.566,7	636,43K
08.10.2019	8.182,9	469,04K
07.10.2019	8.198,6	604,74K
06.10.2019	7.881,9	448,80K
05.10.2019	8.127,3	360,92K
04.10.2019	8.148,1	416,92K
03.10.2019	8.226,9	460,97K
02.10.2019	8.364,1	405,86K
01.10.2019	8.302,7	533,95K
30.09.2019	8.284,3	600,26K
29.09.2019	8.049,1	418,48K
28.09.2019	8.208,5	457,79K
27.09.2019	8.184,9	561,40K
26.09.2019	8.063,8	731,03K
25.09.2019	8.432,4	696,11K
24.09.2019	8.513,9	933,16K
23.09.2019	9.702,2	431,10K
22.09.2019	10.031,6	337,06K
21.09.2019	9.993,0	326,17K
20.09.2019	10.172,7	362,07K
19.09.2019	10.250,5	542,25K
18.09.2019	10.164,7	318,82K
17.09.2019	10.195,7	321,64K
16.09.2019	10.255,5	372,53K
15.09.2019	10.311,5	255,79K
14.09.2019	10.337,3	326,44K
13.09.2019	10.342,1	365,52K
12.09.2019	10.415,1	413,22K
11.09.2019	10.162,5	413,06K
10.09.2019	10.105,4	383,22K
09.09.2019	10.309,0	473,76K
08.09.2019	10.402,8	339,73K
07.09.2019	10.461,1	393,57K
06.09.2019	10.309,3	643,02K
05.09.2019	10.566,9	402,09K
04.09.2019	10.568,2	504,45K
03.09.2019	10.612,3	578,79K
02.09.2019	10.348,8	542,79K
01.09.2019	9.729,3	322,66K
31.08.2019	9.594,4	311,49K
30.08.2019	9.585,4	413,92K
29.08.2019	9.491,0	509,13K
28.08.2019	9.729,4	580,29K
27.08.2019	10.184,8	419,81K
26.08.2019	10.371,8	568,77K
25.08.2019	10.136,3	422,53K
24.08.2019	10.131,0	463,85K
23.08.2019	10.388,7	436,26K
22.08.2019	10.105,0	520,75K
21.08.2019	10.141,5	717,65K
20.08.2019	10.752,6	515,47K
19.08.2019	10.910,7	519,01K
18.08.2019	10.312,7	441,11K
17.08.2019	10.218,1	497,77K
16.08.2019	10.335,6	798,67K
15.08.2019	10.303,4	930,05K
14.08.2019	10.049,4	745,59K
13.08.2019	10.892,9	540,78K
12.08.2019	11.394,2	391,08K
11.08.2019	11.517,2	435,83K
10.08.2019	11.314,5	570,74K
09.08.2019	12.089,8	558,72K
08.08.2019	12.191,6	592,15K
07.08.2019	12.013,9	702,85K
06.08.2019	11.480,9	807,58K
05.08.2019	11.816,8	769,63K
04.08.2019	10.934,6	585,71K
03.08.2019	10.815,7	508,75K
02.08.2019	10.520,1	578,29K
01.08.2019	10.380,0	608,37K
31.07.2019	10.082,0	589,84K
30.07.2019	9.580,7	511,51K
29.07.2019	9.580,9	510,90K
28.07.2019	9.727,8	518,59K
27.07.2019	9.492,1	661,89K
26.07.2019	9.831,0	493,75K
25.07.2019	9.945,3	545,85K
24.07.2019	9.804,3	639,54K
23.07.2019	9.888,7	663,38K
22.07.2019	10.412,5	591,27K
21.07.2019	10.714,4	562,17K
20.07.2019	10.826,7	668,94K
19.07.2019	10.571,5	727,79K
18.07.2019	10.651,4	974,49K
17.07.2019	9.723,2	1,03M
16.07.2019	9.424,8	1,05M
15.07.2019	10.845,9	956,52K
14.07.2019	10.200,1	840,76K
13.07.2019	11.364,9	747,71K
12.07.2019	11.762,1	738,17K
11.07.2019	11.342,3	943,13K
10.07.2019	12.110,6	1,11M
09.07.2019	12.541,5	847,84K
08.07.2019	12.252,6	695,60K
07.07.2019	11.415,9	601,93K
06.07.2019	11.268,0	688,96K
05.07.2019	10.970,2	772,67K
04.07.2019	11.163,1	840,34K
03.07.2019	11.900,8	998,73K
02.07.2019	10.835,9	1,12M
01.07.2019	10.616,6	1,04M
30.06.2019	10.818,6	880,77K
29.06.2019	11.906,5	834,62K
28.06.2019	12.409,1	1,09M
27.06.2019	11.287,8	1,59M
26.06.2019	13.063,8	1,48M
25.06.2019	11.809,9	781,09K
24.06.2019	11.046,4	566,96K
23.06.2019	10.897,1	683,79K
22.06.2019	10.721,7	1,09M
21.06.2019	10.179,3	769,12K
20.06.2019	9.517,0	693,62K
19.06.2019	9.255,4	587,57K
18.06.2019	9.080,6	723,17K
17.06.2019	9.318,8	738,80K
16.06.2019	8.962,5	849,77K
15.06.2019	8.812,5	608,69K
14.06.2019	8.656,1	643,17K
13.06.2019	8.219,0	574,21K
12.06.2019	8.133,1	607,89K
11.06.2019	7.888,0	579,00K
10.06.2019	7.987,8	641,38K
09.06.2019	7.635,0	554,48K
08.06.2019	7.901,4	485,81K
07.06.2019	7.985,2	588,87K
06.06.2019	7.784,9	651,82K
05.06.2019	7.779,1	762,94K
04.06.2019	7.685,5	966,95K
03.06.2019	8.124,8	739,45K
02.06.2019	8.728,6	614,54K
01.06.2019	8.545,7	686,75K
31.05.2019	8.558,3	858,41K
30.05.2019	8.271,9	1,04M
29.05.2019	8.647,8	15,43M
28.05.2019	8.716,3	763,20K
27.05.2019	8.760,1	907,96K
26.05.2019	8.630,2	872,12K
25.05.2019	8.027,4	691,27K
24.05.2019	7.970,1	868,47K
23.05.2019	7.852,1	815,14K
22.05.2019	7.635,7	821,40K
21.05.2019	7.930,3	804,88K
20.05.2019	7.965,3	958,81K
19.05.2019	8.157,2	1,08M
18.05.2019	7.262,6	865,53K
17.05.2019	7.359,5	1,43M
16.05.2019	7.871,8	1,18M
15.05.2019	8.164,6	1,13M
14.05.2019	7.994,6	1,33M
13.05.2019	7.806,0	1,20M
12.05.2019	6.984,8	1,35M
11.05.2019	7.190,3	1,31M
10.05.2019	6.386,0	907,94K
09.05.2019	6.191,5	799,96K
08.05.2019	5.990,3	757,13K
07.05.2019	5.849,5	955,88K
06.05.2019	5.745,1	755,39K
05.05.2019	5.774,9	709,02K
04.05.2019	5.830,9	920,61K
03.05.2019	5.766,8	1,04M
02.05.2019	5.493,8	722,23K
01.05.2019	5.384,2	623,64K
30.04.2019	5.320,8	697,42K
29.04.2019	5.235,0	775,82K
28.04.2019	5.302,3	681,41K
27.04.2019	5.265,9	833,13K
26.04.2019	5.298,3	1,03M
25.04.2019	5.209,1	955,36K
24.04.2019	5.415,6	994,04K
23.04.2019	5.511,6	900,00K
22.04.2019	5.346,7	920,77K
21.04.2019	5.243,5	811,41K
20.04.2019	5.290,2	782,32K
19.04.2019	5.241,0	787,09K
18.04.2019	5.264,7	727,97K
17.04.2019	5.208,3	806,52K
16.04.2019	5.180,9	631,05K
15.04.2019	5.032,3	688,20K
14.04.2019	5.134,8	566,38K
13.04.2019	5.051,8	577,16K
12.04.2019	5.054,2	779,14K
11.04.2019	5.022,6	943,49K
10.04.2019	5.307,8	837,51K
09.04.2019	5.158,4	784,62K
08.04.2019	5.245,2	928,23K
07.04.2019	5.173,6	841,27K
06.04.2019	5.046,2	952,18K
05.04.2019	5.010,2	851,72K
04.04.2019	4.902,4	1,05M
03.04.2019	4.968,7	13,83M
02.04.2019	4.859,3	14,77M
01.04.2019	4.145,1	3,22M
31.03.2019	4.102,3	2,43M
30.03.2019	4.111,8	2,55M
29.03.2019	4.102,2	3,30M
28.03.2019	4.025,6	2,11M
27.03.2019	4.041,7	2,78M
26.03.2019	3.942,8	2,53M
25.03.2019	3.937,0	2,86M
24.03.2019	3.994,7	2,04M
23.03.2019	4.002,5	2,00M
22.03.2019	3.990,4	2,83M
21.03.2019	3.982,2	3,88M
20.03.2019	4.041,2	3,18M
19.03.2019	4.017,0	2,99M
18.03.2019	3.990,2	2,62M
17.03.2019	3.981,5	1,87M
16.03.2019	4.006,4	3,46M
15.03.2019	3.924,3	3,11M
14.03.2019	3.879,0	2,86M
13.03.2019	3.865,1	2,28M
12.03.2019	3.886,0	2,90M
11.03.2019	3.870,3	3,19M
10.03.2019	3.915,2	1,89M
09.03.2019	3.944,3	2,48M
08.03.2019	3.865,9	2,96M
07.03.2019	3.875,1	2,60M
06.03.2019	3.863,0	2,52M
05.03.2019	3.857,2	3,82M
04.03.2019	3.715,9	2,85M
03.03.2019	3.809,5	1,51M
02.03.2019	3.823,1	1,61M
01.03.2019	3.821,9	1,74M
28.02.2019	3.816,6	2,31M
27.02.2019	3.814,6	2,82M
26.02.2019	3.810,3	2,09M
25.02.2019	3.833,7	765,87K
24.02.2019	3.755,2	977,78K
23.02.2019	4.120,4	727,85K
22.02.2019	3.965,2	649,55K
21.02.2019	3.936,6	668,16K
20.02.2019	3.972,4	698,01K
19.02.2019	3.914,3	1,44M
18.02.2019	3.896,0	933,15K
17.02.2019	3.664,2	580,51K
16.02.2019	3.616,8	485,63K
15.02.2019	3.604,7	516,21K
14.02.2019	3.592,6	498,14K
13.02.2019	3.611,5	558,02K
12.02.2019	3.632,0	545,82K
11.02.2019	3.631,8	517,28K
10.02.2019	3.679,0	501,90K
09.02.2019	3.661,4	454,80K
08.02.2019	3.661,7	699,23K
07.02.2019	3.397,7	471,36K
06.02.2019	3.404,3	514,21K
05.02.2019	3.468,4	460,95K
04.02.2019	3.462,8	503,92K
03.02.2019	3.459,1	451,66K
02.02.2019	3.502,5	443,60K
01.02.2019	3.467,9	481,58K
31.01.2019	3.437,2	477,07K
30.01.2019	3.460,0	600,25K
29.01.2019	3.414,8	585,46K
28.01.2019	3.442,8	620,85K
27.01.2019	3.555,6	464,02K
26.01.2019	3.570,9	432,55K
25.01.2019	3.572,0	448,89K
24.01.2019	3.574,3	428,60K
23.01.2019	3.561,5	445,87K
22.01.2019	3.580,1	447,70K
21.01.2019	3.536,7	394,17K
20.01.2019	3.542,3	563,31K
19.01.2019	3.677,8	537,06K
18.01.2019	3.605,6	488,16K
17.01.2019	3.626,4	525,10K
16.01.2019	3.588,0	487,34K
15.01.2019	3.571,3	544,85K
14.01.2019	3.638,1	539,93K
13.01.2019	3.490,2	452,79K
12.01.2019	3.597,2	435,06K
11.01.2019	3.616,5	551,64K
10.01.2019	3.603,7	697,31K
09.01.2019	3.978,0	473,42K
08.01.2019	3.971,0	514,08K
07.01.2019	3.985,9	500,88K
06.01.2019	4.004,1	529,89K
05.01.2019	3.785,4	468,45K
04.01.2019	3.802,7	488,70K
03.01.2019	3.780,1	450,32K
02.01.2019	3.873,8	554,47K
01.01.2019	3.809,4	469,11K
31.12.2018	3.709,4	545,83K
30.12.2018	3.815,0	519,17K
29.12.2018	3.706,8	505,41K
28.12.2018	3.861,6	565,24K
27.12.2018	3.586,9	543,44K
26.12.2018	3.793,7	567,11K
25.12.2018	3.762,5	670,94K
24.12.2018	4.026,1	716,29K
23.12.2018	3.944,4	572,21K
22.12.2018	3.964,4	554,59K
21.12.2018	3.850,9	748,76K
20.12.2018	4.076,0	958,58K
19.12.2018	3.687,1	792,40K
18.12.2018	3.668,0	698,53K
17.12.2018	3.526,1	534,78K
16.12.2018	3.247,9	335,69K
15.12.2018	3.228,7	332,95K
14.12.2018	3.247,8	445,56K
13.12.2018	3.315,3	435,89K
12.12.2018	3.466,1	391,17K
11.12.2018	3.407,7	418,53K
10.12.2018	3.460,5	394,49K
09.12.2018	3.567,5	327,93K
08.12.2018	3.430,4	424,40K
07.12.2018	3.422,2	639,33K
06.12.2018	3.508,6	467,54K
05.12.2018	3.771,6	341,60K
04.12.2018	3.958,5	326,71K
03.12.2018	3.897,8	355,10K
02.12.2018	4.160,4	298,63K
01.12.2018	4.196,2	316,30K
30.11.2018	4.039,7	444,52K
29.11.2018	4.296,5	414,46K
28.11.2018	4.265,4	533,04K
27.11.2018	3.866,5	457,27K
26.11.2018	3.837,0	571,04K
25.11.2018	4.062,2	619,95K
24.11.2018	3.920,4	382,72K
23.11.2018	4.398,0	348,99K
22.11.2018	4.356,0	261,85K
21.11.2018	4.638,7	412,74K
20.11.2018	4.524,6	714,08K
19.11.2018	4.883,8	478,26K
18.11.2018	5.658,3	158,68K
17.11.2018	5.621,8	156,51K
16.11.2018	5.636,2	224,12K
15.11.2018	5.718,9	375,86K
14.11.2018	5.842,4	438,21K
13.11.2018	6.429,2	137,60K
12.11.2018	6.435,0	130,16K
11.11.2018	6.446,1	127,40K
10.11.2018	6.427,1	115,87K
09.11.2018	6.412,0	151,60K
08.11.2018	6.474,0	159,30K
07.11.2018	6.565,3	170,76K
06.11.2018	6.502,8	154,87K
05.11.2018	6.459,7	128,51K
04.11.2018	6.478,2	128,76K
03.11.2018	6.386,2	112,84K
02.11.2018	6.424,7	135,87K
01.11.2018	6.400,5	124,16K
31.10.2018	6.365,9	129,06K
30.10.2018	6.325,7	128,21K
29.10.2018	6.335,0	160,52K
28.10.2018	6.486,1	93,97K
27.10.2018	6.494,2	76,72K
26.10.2018	6.510,0	97,17K
25.10.2018	6.507,0	97,43K
24.10.2018	6.530,7	98,74K
23.10.2018	6.528,7	108,86K
22.10.2018	6.555,8	101,57K
21.10.2018	6.583,0	92,94K
20.10.2018	6.572,2	97,77K
19.10.2018	6.512,0	121,44K
18.10.2018	6.574,1	134,15K
17.10.2018	6.686,6	136,71K
16.10.2018	6.705,3	155,85K
15.10.2018	6.699,8	443,33K
14.10.2018	6.326,8	99,38K
13.10.2018	6.321,7	94,45K
12.10.2018	6.291,3	147,40K
11.10.2018	6.239,1	245,28K
10.10.2018	6.618,0	101,93K
09.10.2018	6.650,8	80,79K
08.10.2018	6.669,6	119,68K
07.10.2018	6.611,0	77,06K
06.10.2018	6.596,3	9,18M
05.10.2018	6.639,1	9,34M
04.10.2018	6.584,2	9,31M
03.10.2018	6.507,8	9,21M
02.10.2018	6.549,9	9,34M
01.10.2018	6.608,2	9,19M
30.09.2018	6.635,2	9,34M
29.09.2018	6.603,9	9,42M
28.09.2018	6.636,0	9,57M
27.09.2018	6.689,2	9,34M
26.09.2018	6.468,1	8,64M
25.09.2018	6.445,1	7,34M
24.09.2018	6.584,1	7,57M
23.09.2018	6.704,1	7,34M
22.09.2018	6.729,6	7,31M
21.09.2018	6.766,7	7,73M
20.09.2018	6.489,2	5,18M
19.09.2018	6.390,4	3,54M
18.09.2018	6.342,0	2,82M
17.09.2018	6.251,9	3,26M
16.09.2018	6.500,2	3,34M
15.09.2018	6.519,0	3,16M
14.09.2018	6.483,7	3,20M
13.09.2018	6.482,9	3,53M
12.09.2018	6.338,0	3,04M
11.09.2018	6.293,9	3,30M
10.09.2018	6.321,0	3,11M
09.09.2018	6.238,5	2,84M
08.09.2018	6.184,3	3,46M
07.09.2018	6.390,9	3,30M
06.09.2018	6.514,0	4,02M
05.09.2018	6.706,8	4,55M
04.09.2018	7.377,5	3,92M
03.09.2018	7.264,2	3,87M
02.09.2018	7.293,9	3,90M
01.09.2018	7.189,6	3,52M
31.08.2018	7.033,8	4,21M
30.08.2018	6.993,7	3,74M
29.08.2018	7.029,1	4,11M
28.08.2018	7.074,6	3,79M
27.08.2018	6.897,6	3,26M
26.08.2018	6.712,7	3,37M
25.08.2018	6.734,8	3,59M
24.08.2018	6.680,4	3,70M
23.08.2018	6.521,2	2,76M
22.08.2018	6.359,6	3,63M
21.08.2018	6.482,2	1,46M
20.08.2018	6.268,1	3,10M
19.08.2018	6.481,5	2,71M
18.08.2018	6.379,1	3,15M
17.08.2018	6.581,7	3,20M
16.08.2018	6.306,7	3,50M
15.08.2018	6.256,9	3,74M
14.08.2018	6.190,2	3,66M
13.08.2018	6.255,3	234,09K
12.08.2018	6.313,0	216,33K
11.08.2018	6.231,6	247,34K
10.08.2018	6.152,3	298,82K
09.08.2018	6.538,8	237,66K
08.08.2018	6.283,6	311,54K
07.08.2018	6.724,9	232,48K
06.08.2018	6.943,6	168,87K
05.08.2018	7.027,1	177,64K
04.08.2018	7.014,3	222,57K
03.08.2018	7.419,0	226,46K
02.08.2018	7.535,6	216,34K
01.08.2018	7.606,4	237,69K
31.07.2018	7.729,4	266,94K
30.07.2018	8.177,1	242,21K
29.07.2018	8.215,6	155,24K
28.07.2018	8.234,1	147,14K
27.07.2018	8.187,4	243,22K
26.07.2018	7.937,0	235,45K
25.07.2018	8.173,7	269,23K
24.07.2018	8.407,0	345,32K
23.07.2018	7.723,0	272,15K
22.07.2018	7.412,3	204,16K
21.07.2018	7.408,7	160,77K
20.07.2018	7.339,4	258,85K
19.07.2018	7.477,5	247,25K
18.07.2018	7.383,6	333,32K
17.07.2018	7.322,0	337,75K
16.07.2018	6.729,9	312,12K
15.07.2018	6.362,9	180,67K
14.07.2018	6.254,8	243,71K
13.07.2018	6.230,2	233,22K
12.07.2018	6.250,6	289,24K
11.07.2018	6.389,1	243,82K
10.07.2018	6.307,2	315,27K
09.07.2018	6.667,1	289,48K
08.07.2018	6.714,8	267,60K
07.07.2018	6.765,5	114,57K
06.07.2018	6.617,7	132,69K
05.07.2018	6.546,5	166,18K
04.07.2018	6.598,4	143,04K
03.07.2018	6.513,5	150,19K
02.07.2018	6.619,5	179,92K
01.07.2018	6.366,8	128,51K
30.06.2018	6.398,9	189,33K
29.06.2018	6.213,3	206,96K
28.06.2018	5.883,5	156,05K
27.06.2018	6.154,9	133,42K
26.06.2018	6.082,1	176,66K
25.06.2018	6.256,6	210,69K
24.06.2018	6.154,6	240,60K
23.06.2018	6.167,3	142,90K
22.06.2018	6.055,7	278,22K
21.06.2018	6.728,0	99,29K
20.06.2018	6.765,4	121,48K
19.06.2018	6.752,4	120,54K
18.06.2018	6.719,8	135,70K
17.06.2018	6.460,3	90,67K
16.06.2018	6.505,8	108,79K
15.06.2018	6.410,3	143,53K
